Isolate,Location,Area,Country,Country_code,Type of site,Source,Host,MT
125-TW178-SPen-Taiwan,"Hengchun peninsula, site F20",southern peninsula,Taiwan,TWN,Forest,Soil,Lithocarpus sinshuiensis,A2_Homothallic
126-TW181-SPen-Taiwan,"Hengchun peninsula, site F20",southern peninsula,Taiwan,TWN,Forest,Soil,Engelhardia roxburghiana,A2_Homothallic
127-TW184-SPen-Taiwan,"Hengchun peninsula, site F23",southern peninsula,Taiwan,TWN,Forest,Soil,Castanopsis indica,A1
128-TW185-SPen-Taiwan,"Hengchun peninsula, site F23",southern peninsula,Taiwan,TWN,Forest,Soil,Castanopsis indica,A2_Homothallic
15-S108-S4A1-Portugal,"Terras de Bouro, Braga",,Portugal,PORT,Forest,Soil,Fagus sylvatica,A2
19-S142S7C-Portugal,"Monchique, Faro",,Portugal,PORT,Forest,Soil,Castanea sativa,A2
200-W1733-NSWalesAus_Rep2,Hawlesbury Nepean,New South Wales,Australia,AUS,,,,A2
20-S144S4-Portugal,"Grandola, Setúbal",,Portugal,PORT,Forest,Soil,Quercus suber,A2
21-S152-S2-1-Portugal,"Estremoz, Évora",,Portugal,PORT,Forest,Soil,Quercus ilex,A2
225-WalnussLinz-Austria,,,Austria,AUST,,,Juglans nigra,
22-S162-S4-1-Portugal,"Anadia, Aveiro",,Portugal,PORT,Nursery,Soil,Castanea sativa,A2
231-UQ2966-SouthAfrica,"S&SW Cape (Doringrivier, SA)",,South Africa,RSA,,,,A1
232-UQ2968-SouthAfrica,"S&SW Cape (Groot Doringrivier, SA)",,South Africa,RSA,,,,A1
233-UQ3025-Georgia-USA,Unknown,Georgia,USA,USA,,,Pinus echinata,A2
234-UQ3026-USA,Unknown,,USA,USA,,,Persea americana,A2
23-S167-S5C-Portugal,"Anadia, Aveiro",,Portugal,PORT,Nursery,Soil,Castanea sativa,A2
24-S175-S1-Portugal,"Anadia, Aveiro",,Portugal,PORT,Nursery,Soil,Castanea sativa,A2
253-UQ6376-SE-Vietnam,Ha Trung,Southeastern,Vietnam,VNM,,,Pineapple,
25-S181-S5-2-Portugal,"Anadia, Aveiro",,Portugal,PORT,Nursery,Soil,Quercus rubra,A2
26-S186S1-2-Portugal,"Sintra, Lisboa",,Portugal,PORT,Forest,Soil,Castanea sativa,A2
27-S193-S7A-Portugal,"Sintra, Lisboa",,Portugal,PORT,Forest,Soil,Castanea sativa + Abies alba,A2
283-VN017-N-Vietnam,"Hoang-Lien Mountains, site 15",Northern ,Vietnam,VNM,Forest,,Neolitsea polycarpa,
286-VN355-N-Vietnam,"Hoang-Lien Mountains, site 9",Northern ,Vietnam,VNM,Forest,,"Acer oliverianum, Symplocos quillaminii, Eryobotrya cavaleriei",
287-VN373-N-Vietnam,"Hoang-Lien Mountains, site 8",Northern ,Vietnam,VNM,Forest,,"Ilex leeseneri, Castanopsis acutiminissima, Eurya annamensis",
289-VN319-N-Vietnam,"Hoang-Lien Mountains, site 8",Northern ,Vietnam,VNM,Forest,,Acer oblongum,
28-S208-S1D-Portugal,"Grandola, Setúbal",,Portugal,PORT,Forest,Soil,Quercus suber,A2
290-VN339-N-Vietnam,"Hoang-Lien Mountains, site 8",Northern ,Vietnam,VNM,Forest,,"Acer oblongum, Symplocos dryophila",
